audio_path,speaker,emotion,gender,ethnicity
id00012/21Uxsk56VDQ/00005.wav,id00012,1,male,Caucasian (North American)
id00012/Gf-KDRnkBw8/00033.wav,id00012,0,male,Caucasian (North American)
id00012/IYaT706uSpQ/00047.wav,id00012,0,male,Caucasian (North American)
id00012/L5fo1OvuXIg/00065.wav,id00012,0,male,Caucasian (North American)
id00012/O2jVZ--4vCk/00067.wav,id00012,2,male,Caucasian (North American)
id00012/OuYBFCAc6GE/00076.wav,id00012,0,male,Caucasian (North American)
id00012/OuYBFCAc6GE/00077.wav,id00012,0,male,Caucasian (North American)
id00012/Pdni5zyZJYA/00080.wav,id00012,2,male,Caucasian (North American)
id00012/Pdni5zyZJYA/00081.wav,id00012,0,male,Caucasian (North American)
id00012/Pdni5zyZJYA/00083.wav,id00012,2,male,Caucasian (North American)
id00012/UiPa-HfABJQ/00088.wav,id00012,0,male,Caucasian (North American)
id00012/UiPa-HfABJQ/00090.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00091.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00092.wav,id00012,3,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00094.wav,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00098.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00101.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00103.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00104.wav,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00105.wav,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00107.wav,id00012,0,male,Caucasian (North American)
id00012/_raOc3-IRsw/00111.wav,id00012,0,male,Caucasian (North American)
id00012/_raOc3-IRsw/00112.wav,id00012,0,male,Caucasian (North American)
id00012/_raOc3-IRsw/00113.wav,id00012,0,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00117.wav,id00012,0,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00121.wav,id00012,0,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00123.wav,id00012,0,male,Caucasian (North American)
id00012/clK27q0FqLs/00125.wav,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00127.wav,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00129.wav,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00131.wav,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00133.wav,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00134.wav,id00012,0,male,Caucasian (North American)
